Test Set #1
 6 to 19: 2
16 to 15: 4
 7 to 15: 1
19 to  3: 2
13 to  8: 3
12 to 13: 3
20 to  7: 2
 6 to  8: 3
 3 to  1: 2
19 to 16: 3
11 to 20: 3
 1 to  4: 2
14 to 17: 4
11 to 17: 4
16 to  5: 2
14 to  4: 4
 3 to  6: 2
 2 to 19: 1
13 to  3: 3
 7 to 10: 2
17 to 18: 3
18 to  6: 2
10 to  1: 2
 8 to  5: 1
 4 to 15: 4
 8 to  9: 2
 3 to  1: 2
 9 to  4: 3
 4 to 16: 2
 7 to 12: 3
 6 to 18: 2
 5 to  6: 2
13 to 10: 2
 5 to  2: 1

Test Set #13
 8 to 13: 5
16 to 12: 8
12 to  7: 6
18 to  5: 3
 4 to  9: 1
20 to  6: 4
10 to  9: 5
18 to  1: 4
 7 to 19: 4
13 to  5: 2
 3 to 14: 3
16 to 20: 7
 8 to  1: 2
 8 to  7: 7
 9 to 13: 1
 7 to  3: 5
11 to  2: 4

Test Set #14
 4 to 10: 2
 5 to 19: 4
10 to  4: 2
17 to 14: 1
12 to 10: 3
17 to  3: 4
 4 to  8: 1
10 to  6: 1
 4 to  5: 3
15 to  4: 2
 4 to  3: 3
 3 to  8: 4
17 to 13: 4
15 to  6: 2
13 to  9: 4
19 to  6: 3
18 to 12: 1
18 to 14: 1
11 to 10: 2
15 to 11: 3
20 to  1: 3
17 to 19: 3
18 to 15: 1
20 to 11: 4
17 to  3: 4
17 to  3: 4
10 to 20: 3
12 to  1: 3
20 to 12: 2
 5 to  6: 2
 5 to  1: 3
 1 to  6: 2
 1 to 18: 2
 3 to  1: 4
 9 to 15: 2
 5 to 15: 2
15 to  8: 3
12 to 20: 2
 5 to 16: 5
20 to 13: 5
17 to  4: 3
 8 to 17: 3
10 to 12: 3
 8 to  9: 2
18 to 19: 1
 5 to  6: 2
11 to  6: 1
 3 to 10: 4
14 to 13: 3
12 to 15: 2
 1 to 12: 3

Test Set #15
10 to 18: 3
10 to 18: 3
19 to 16: 2
 7 to 13: 2
11 to 12: 2
12 to  5: 2
15 to  3: 4
17 to 15: 3
12 to  2: 3
14 to 18: 2
 4 to  9: 8
20 to  4: 6
20 to  2: 5
12 to  3: 3
19 to 17: 4
18 to  4: 3
 5 to 18: 2
 1 to  4: 5
15 to  9: 5
13 to  1: 1
12 to  7: 2
10 to 19: 5
 7 to 14: 3
18 to  3: 4
 8 to 11: 3
 6 to  7: 4
 4 to  8: 5
12 to 10: 2
13 to 14: 3
17 to 16: 4
12 to  9: 4
 3 to  9: 1
20 to 15: 3
14 to  3: 3
 5 to 15: 1
 7 to 20: 2
 9 to  2: 7
19 to  4: 7
14 to 20: 2
 2 to 13: 4
 7 to 10: 4
 8 to 19: 4
19 to 13: 3
 3 to 12: 3
 3 to 18: 4
13 to 18: 2
14 to 11: 3
 7 to 14: 3
 6 to  2: 3
 7 to 19: 3
 9 to 12: 4
11 to 20: 4
 4 to 16: 6
 7 to 18: 3
19 to  2: 6
16 to 20: 1
 9 to  2: 7
18 to  3: 4
 9 to  6: 6
15 to 16: 3
 5 to  7: 4
 1 to 11: 3
15 to 10: 4
10 to  2: 5
13 to  9: 4
14 to 15: 2
 4 to  7: 4
 5 to 14: 1
12 to  6: 2
13 to 19: 3
 5 to 15: 1
 2 to 19: 6
 2 to  8: 4
20 to  8: 3
15 to  9: 5
 5 to 18: 2
 8 to 19: 4
 8 to 19: 4
 9 to 16: 3
 9 to 11: 6
 2 to 10: 5
 6 to 20: 4
19 to 20: 1
 9 to 15: 5
12 to 18: 1
18 to 20: 3

Test Set #16
18 to  8: 4
18 to 14: 6
 9 to  4: 4
 3 to 16: 1
11 to 14: 7
20 to  2: 3
17 to  1: 2
20 to  1: 3
 1 to 20: 3
 5 to 18: 4
16 to 11: 4
 6 to  8: 2
10 to 13: 2
 2 to 14: 5
 5 to 11: 2
 1 to 14: 5
16 to 20: 3
19 to  8: 2
15 to 14: 2
 1 to  7: 4
 1 to  2: 2
14 to  7: 3
 8 to  4: 4
14 to 15: 2
 9 to 18: 4
 4 to 18: 4
10 to 20: 3
 5 to 19: 6
 2 to  7: 4
13 to  3: 2
 3 to  5: 3
11 to 18: 5
14 to 18: 6
 1 to  9: 3
17 to  2: 2
12 to 11: 6
12 to 15: 1
 3 to  7: 4
15 to 13: 3
12 to  8: 1
11 to 14: 7
15 to 16: 5
 3 to 14: 5
 2 to  6: 1
 5 to  3: 3
12 to 20: 3
17 to  6: 1
14 to 12: 1
 1 to 19: 5
19 to 17: 5
10 to 13: 2
 3 to 11: 4
10 to  5: 5
 6 to  3: 1
 2 to 19: 5
14 to  1: 5
 6 to 17: 1
18 to  3: 3
18 to  8: 4
 5 to  3: 3
19 to  8: 2
 6 to 16: 1
19 to 20: 4
17 to  1: 2
 5 to  2: 3
18 to  5: 4
 5 to  8: 4
 8 to 10: 1
14 to  7: 3
 9 to  5: 1
 1 to  2: 2
 4 to 13: 3
13 to 10: 2
15 to 11: 7
19 to  9: 6
 6 to  2: 1
 4 to 17: 3
 4 to 10: 5
12 to 11: 6
 8 to 19: 2
13 to  7: 2
17 to 10: 4
 4 to 15: 6
13 to  5: 3
19 to 13: 3
 2 to 19: 5
20 to  6: 2
17 to  8: 3
17 to 14: 5
 6 to 14: 4
15 to 11: 7
20 to  3: 3
 9 to 19: 6
15 to  8: 2
18 to 19: 6
 4 to 13: 3
15 to 11: 7
 1 to 13: 2

Test Set #17
 3 to 16: 2
15 to  4: 3
15 to  3: 2
20 to 12: 3
20 to 12: 3
 1 to  5: 3
 2 to  5: 2
 8 to 19: 2
 8 to  2: 1
 6 to  2: 1
15 to  2: 1
 9 to 18: 2
 9 to  1: 1
 3 to 19: 1
19 to  1: 2
 2 to  4: 3
 3 to  4: 3
 1 to 15: 3
 2 to  4: 3
 7 to 12: 3
17 to 20: 3
18 to  6: 1
 8 to 11: 2
 5 to 13: 2
 5 to  6: 2
 8 to  5: 3
19 to 10: 2
20 to 15: 2
10 to  7: 2
20 to 10: 2
17 to  5: 3
 6 to 16: 2
 4 to 10: 1
 9 to 16: 4
11 to 12: 3
12 to 11: 3
20 to  3: 2
 2 to 19: 1
 4 to 15: 3
13 to 11: 2
 2 to  1: 2

Test Set #18
 7 to 18: 4
 4 to  2: 2
 2 to  1: 5
 9 to 17: 2
14 to 13: 3
19 to 12: 2
13 to 12: 3
 3 to  1: 4
14 to 11: 1
18 to 11: 3
18 to  8: 3
14 to  4: 3
10 to  2: 3
18 to 14: 3
17 to 15: 2
 6 to 12: 1
16 to 13: 4
15 to 18: 2
10 to 20: 6
17 to 18: 2
20 to 12: 4
 9 to  1: 5
10 to  1: 6
19 to  7: 5
 6 to 10: 4
12 to 20: 4
14 to  9: 3
10 to  4: 3
 1 to  8: 5
14 to  1: 2
17 to 15: 2
14 to 10: 5
20 to  8: 5
 6 to 13: 4
19 to 12: 2
 4 to  7: 1
 6 to 17: 2
13 to 15: 2
15 to 16: 2
14 to  9: 3
13 to 16: 4
 3 to 19: 4
 4 to 13: 3
16 to 14: 2
 2 to  5: 4
10 to 11: 5
 1 to 16: 4
 2 to  9: 3
 8 to  7: 3
10 to 17: 2
10 to 15: 4
17 to  6: 2
 7 to 19: 5
 3 to 19: 4
10 to  4: 3
 6 to 12: 1
 6 to  7: 4
18 to  9: 2
 4 to  7: 1
10 to 16: 4
17 to 15: 2
 3 to 19: 4
16 to  2: 3
 4 to  1: 3
 3 to 17: 1
15 to 13: 2
15 to 10: 4
11 to 15: 1
12 to  2: 2

Test Set #19
 5 to  7: 3
 1 to 16: 1
13 to  5: 1
13 to 10: 4
 7 to 19: 1
16 to  2: 2
 1 to  9: 2
19 to  7: 1
 4 to  1: 2
10 to  3: 3
 9 to  7: 2
19 to 20: 3
16 to 18: 3
20 to  6: 3
12 to  5: 4

Test Set #20
 4 to  7: 1
 4 to  6: 2
15 to  2: 6
 1 to 20: 2
16 to 10: 7
 3 to 15: 3
 2 to  8: 6
10 to  6: 4
 4 to 15: 2
13 to 20: 2
18 to  7: 3
 8 to 16: 7
 7 to 19: 2
 1 to 19: 2
16 to 19: 4
17 to 14: 3
 5 to 18: 5
14 to  2: 4
 2 to  7: 3
 2 to  5: 5
 9 to 10: 6
 5 to  3: 6
14 to 17: 3
20 to 17: 4
18 to 20: 1
 6 to  9: 2
 7 to  9: 3
 3 to 20: 4
19 to 12: 2
16 to 14: 5
 5 to 16: 6
15 to 12: 7
14 to  7: 3
17 to  8: 2
 7 to  2: 3
 4 to  6: 2
 5 to 12: 2
 3 to  4: 1
10 to  6: 4
11 to  6: 2
 2 to 19: 3
15 to  8: 8
 5 to  9: 5
18 to 12: 5
11 to  3: 5
14 to  7: 3
 4 to 17: 5
17 to  7: 4
17 to  4: 5
12 to  6: 3
 6 to 11: 2
18 to  9: 2
 2 to  5: 5
 2 to  7: 3
 7 to 20: 2
10 to  4: 6
19 to 16: 4
 7 to  2: 3
12 to 20: 4
19 to 11: 1
 3 to  7: 2
 2 to  9: 2

Test Set #21
14 to 20: 3
16 to  7: 3
13 to 12: 4
19 to  3: 2
 9 to  6: 2
16 to 19: 4
18 to 17: 2
 8 to 19: 3
 4 to 17: 1
12 to  9: 3
12 to 14: 3
 9 to  5: 1

Test Set #22
20 to 12: 4
11 to  7: 2
 2 to  5: 6
 2 to 19: 1
 9 to  5: 4
19 to  7: 4
14 to  2: 5
12 to 15: 2
17 to 12: 4
10 to 20: 3
 1 to  8: 4
14 to  1: 1
 4 to  3: 3
 6 to 12: 3
15 to  4: 3
 9 to 20: 2
 4 to 15: 3
15 to 16: 3
 4 to  9: 2
18 to  2: 3
12 to  7: 4
14 to  9: 5
18 to 12: 2
 7 to  9: 5
18 to 17: 2
 9 to  5: 4
 2 to 16: 4
 3 to  5: 3
16 to 13: 6
12 to 20: 4
 7 to 19: 4
 2 to 11: 3
19 to  5: 5
19 to  4: 3
 2 to 11: 3
 6 to  5: 4
 3 to  4: 3
 1 to  5: 2
20 to 17: 4
 3 to  5: 3
 6 to  1: 4
 4 to  1: 4
 5 to  1: 2
15 to 17: 4
16 to 13: 6
13 to 12: 5
16 to  5: 4
18 to 10: 1
 7 to 13: 7
 2 to  8: 4
19 to  6: 3
 2 to 13: 6
20 to 18: 2
 4 to  1: 4
14 to 10: 3
18 to 20: 2
13 to  9: 4
10 to  8: 2

Test Set #23
13 to 20: 4
12 to  8: 5
 4 to  8: 5
 2 to  1: 4
 9 to 15: 2
16 to 18: 1
 4 to 15: 2
17 to 14: 3
10 to  7: 2
14 to  6: 3
 4 to  8: 5
18 to 12: 5
18 to  2: 5
 8 to 10: 4
 4 to 11: 4
 7 to  3: 1
19 to  5: 3
11 to  1: 4
 3 to  2: 6
13 to 15: 3
15 to  8: 4
19 to 17: 3
 2 to 19: 3
 9 to 10: 2
 1 to  6: 2
 3 to 14: 5
17 to  7: 1
12 to  4: 2
10 to 13: 1
12 to  4: 2
 3 to  1: 6
 9 to  5: 1
15 to 13: 3
 7 to  8: 4
19 to  2: 3
11 to  5: 2
 6 to  1: 2
10 to 19: 4
 6 to 20: 2
19 to 15: 4
 9 to  3: 3
18 to  9: 2
 4 to  7: 1
16 to  2: 4
16 to 19: 3
18 to 10: 4
 7 to 16: 3
 6 to  2: 4
 9 to  3: 3
 3 to  8: 5
16 to 12: 4
12 to  6: 6
 1 to  5: 4
16 to 17: 2
16 to 10: 3
 1 to  7: 5
 5 to 12: 4
 3 to 18: 5
20 to 13: 4
18 to 10: 4
 9 to 15: 2
10 to 17: 1
18 to 10: 4
 5 to 20: 2
 7 to 16: 3
16 to 13: 4
 7 to  3: 1

Test Set #24
15 to 20: 3
11 to  2: 4
14 to  2: 3
19 to 13: 3
19 to 14: 4
13 to  9: 2
 2 to  3: 4
14 to  4: 4
16 to  9: 2
12 to 14: 2
 9 to  6: 3
14 to 16: 4
 5 to 16: 5
20 to  3: 4
10 to  2: 2
 3 to 17: 4
 8 to 14: 5
 8 to 13: 1
16 to  3: 3
13 to 16: 4
13 to 18: 6
17 to 20: 3
20 to 14: 5
 7 to 17: 3
17 to  3: 4
14 to  1: 1
 1 to 15: 3
19 to  3: 3
17 to  1: 4
 3 to 10: 2
 4 to 18: 4
10 to  3: 2
16 to  6: 3
 3 to  5: 6
 5 to 11: 6
12 to  3: 3
 5 to  3: 6
10 to  5: 4
 5 to 12: 3
14 to 11: 5
12 to  1: 1
 9 to 11: 3
11 to 12: 3
17 to  9: 2
17 to  2: 4
12 to 20: 3
20 to  3: 4
12 to  4: 2
20 to 15: 3
12 to 13: 4
18 to  8: 5
 6 to 13: 5
12 to  9: 2
17 to  6: 4
11 to 18: 5
 5 to  3: 6

Test Set #25
18 to 13: 1
10 to 12: 2
 3 to  1: 1
15 to 10: 4
16 to  7: 1
12 to  2: 1
13 to  8: 3
20 to 15: 3
20 to 12: 2
14 to 10: 4
 5 to 15: 2
11 to  8: 5
 5 to  4: 3
 5 to  7: 3
13 to 10: 3
 9 to 19: 3
 5 to  7: 3
 3 to  7: 2
11 to 10: 1
 4 to 13: 3
10 to 11: 1
12 to  2: 1
 3 to  4: 1
13 to  1: 4
10 to  2: 3
 6 to 18: 2
16 to 14: 2
 8 to  5: 3
11 to 18: 3
 2 to 20: 1
11 to  7: 2
11 to 10: 1
20 to  7: 2
 5 to 13: 4
16 to  9: 2
 7 to 15: 3
 2 to 20: 1
16 to  3: 1

Test Set #26
 2 to 19: 4
 7 to 17: 3
 9 to 11: 2
11 to 12: 3
13 to 18: 5
 8 to 11: 2
18 to  4: 2
15 to 18: 4
 1 to  5: 2
 5 to 18: 2
11 to  8: 2
16 to  6: 1
 7 to  2: 3
15 to  7: 2
11 to  9: 2
 9 to 19: 4
 9 to 11: 2
 7 to  5: 2
18 to 19: 1
17 to 20: 3
15 to  5: 2
14 to  8: 2
 1 to  8: 3
 6 to  7: 1
12 to  8: 3
 3 to  8: 3
 7 to 13: 3
12 to  7: 2
12 to  6: 1
 8 to 12: 3
 3 to 12: 2
11 to 14: 2
12 to 10: 3
 7 to 12: 2
12 to 19: 3
18 to  6: 3
16 to 12: 2
17 to 13: 4
11 to  9: 2
 6 to  4: 2
 7 to 15: 2
14 to  6: 2
 6 to 19: 3
 8 to 13: 4
10 to 17: 3
 4 to 15: 3
 6 to 13: 2
19 to  8: 3
18 to  5: 2
18 to 13: 5
 5 to  4: 3
 6 to 12: 1
10 to 12: 3
18 to 20: 4
19 to 12: 3
12 to  4: 2
 8 to  7: 1
19 to  9: 4
 3 to  7: 2
 1 to  5: 2
 7 to 15: 2
 9 to  6: 1
 7 to 14: 1
 8 to 10: 4
14 to 10: 4
15 to 16: 2
 9 to 20: 2
12 to 10: 3
13 to 20: 3
10 to 19: 5
16 to 10: 3
17 to 18: 3
 2 to 14: 4
20 to 10: 3
 6 to 16: 1
 4 to 18: 2
16 to 10: 3
 5 to  9: 2

Test Set #27
18 to  1: 3
 3 to  1: 3
19 to 11: 3
 6 to  9: 4
16 to 20: 3
 4 to  6: 4
 5 to 16: 2
10 to  4: 4
 1 to  8: 3
12 to  7: 1
 8 to  1: 3
 6 to  3: 1
11 to  3: 3
16 to  5: 2
 9 to 13: 2
16 to  8: 4
 6 to 17: 4
16 to 15: 1
20 to  2: 2
 8 to 12: 2
15 to  7: 2
 1 to  4: 3
 2 to 10: 2

Test Set #28
17 to 10: 2
12 to  8: 3
16 to 12: 1
 4 to 16: 4
12 to 18: 2
14 to 16: 3
15 to 14: 2
 1 to  4: 4
 6 to 19: 2
 8 to 20: 1
11 to  3: 4
 8 to 10: 3
 7 to  2: 1
 4 to 20: 3
 5 to  7: 2
19 to 20: 2
13 to 11: 3
10 to 20: 2
17 to  5: 2
10 to  6: 1
 5 to  2: 3
 1 to  2: 3
17 to 14: 2
 4 to 19: 4
 5 to  2: 3
16 to 13: 2
 8 to  4: 3
16 to 14: 3
13 to  3: 1
 5 to 10: 2
19 to  8: 3
 2 to 15: 2
20 to 12: 2
15 to  8: 1
17 to 15: 1
 1 to  9: 1
 2 to  5: 3
 7 to 11: 3
 2 to 10: 3
11 to 18: 4
17 to  9: 4
15 to  2: 2
 3 to 20: 2
11 to  2: 3
10 to 19: 3
20 to 17: 2
 1 to  7: 2
 6 to  9: 3
